place_id,value,time,type,id,device_id
3,1.0,2016-06-16T11:30:34,movement,70359,1213099
3,1.0,2016-06-16T11:30:35,movement,70360,1213099
3,1.0,2016-06-16T11:30:43,movement,70361,1213099
3,1.0,2016-06-16T11:30:44,movement,70362,1213099
2,1.0,2016-06-16T11:31:01,movement,70363,1210115
2,1.0,2016-06-16T11:31:02,movement,70364,1210115
2,1.0,2016-06-16T11:31:06,movement,70365,1210115
2,1.0,2016-06-16T11:31:07,movement,70366,1210115
3,1.0,2016-06-16T11:30:49,movement,70367,1213099
3,1.0,2016-06-16T11:30:50,movement,70368,1213099
3,1.0,2016-06-16T11:30:54,movement,70369,1213099
3,1.0,2016-06-16T11:30:59,movement,70370,1213099
3,1.0,2016-06-16T11:31,movement,70371,1213099
3,1.0,2016-06-16T11:31:04,movement,70372,1213099
3,1.0,2016-06-16T11:31:05,movement,70373,1213099
2,0.0,2016-06-16T11:30:53,closed,70374,1210110
2,1.0,2016-06-16T11:30:57,closed,70375,1210110
2,1.0,2016-06-16T11:31:12,movement,70376,1210115
2,1.0,2016-06-16T11:31:13,movement,70377,1210115
2,1.0,2016-06-16T11:31:17,movement,70378,1210115
2,1.0,2016-06-16T11:31:18,movement,70379,1210115
2,1.0,2016-06-16T11:31:23,movement,70380,1210115
2,1.0,2016-06-16T11:31:24,movement,70381,1210115
2,1.0,2016-06-16T11:31:29,movement,70382,1210115
3,1.0,2016-06-16T11:31:19,movement,70383,1213099
3,1.0,2016-06-16T11:31:20,movement,70384,1213099
2,1.0,2016-06-16T11:31:30,movement,70390,1210115
2,1.0,2016-06-16T11:31:35,movement,70391,1210115
2,1.0,2016-06-16T11:31:36,movement,70392,1210115
2,1.0,2016-06-16T11:32:12,movement,70393,1210115
2,1.0,2016-06-16T11:32:13,movement,70394,1210115
3,0.0,2016-06-16T11:32:05,closed,70395,1210108
3,0.0,2016-06-16T11:32:06,closed,70396,1210108
2,1.0,2016-06-16T11:32:20,movement,70401,1210115
2,1.0,2016-06-16T11:32:21,movement,70402,1210115
2,1.0,2016-06-16T11:32:36,movement,70403,1210115
